x,class,fold
investigation of a microscopic-based model for polymeric fluids using micro-macro simulations,math,train
extensions and applications of efficient method of moments,economics,train
microbial food webs of marine intertidal communities trophic interactions and grazing rates,oceanography,train
mathematical sciences statistical inference on synaptic release mechanisms,statistics,train
"student travel support for acm sigcomm 2000; stockhold, sweden; august 28- september 1, 2000",networking,train
graph theoretic analysis of models for hierarchical distributed systems,theory,train
streaming prerecorded continuous media in wireless environments,networking,train
"democratic states and repeat military challenges, 1918-1994",politic,train
study of the mechanical properties of thin metal films and shape memory alloy coatings,metals,train
gravitation physics and relativistic astrophysics,gravitional,train
focused group on fundamental problems in the dynamics of thin viscous films and fluid interfaces,math,train
emergence of money as a medium of exchange an experimental analysis,economics,train
"invitational workshop on distributed information, computation, and process management for scientific and engineering environments",data,train
mathematical sciences semi-positone problems ii,math,train
"growth, externalities and human capital evidence from the cities",economics,train
"workshop on developing a n. american hydrologic data library, spring 2001",hydro,train
radiation problems and other mathematical aspects of einstein's theory of general relativity,gravitional,train
flexibility and uncertainty implications for aggregate fluctuations,economics,train
"chapman conference on application of gis, remote sensing, geostatistics, and solute transport modeling to the assessment of nonpoint source pollutants in",hydro,train
models of socioeconomic organization,economics,train
multiple imputation inferences with public-use data files and frequentist properties of bayesian procedures,statistics,train
enabling a basic culture at historically black colleges and univesities (hbcus),sociology,train
workshop on algorithmic in midsouthwest 1994-1996,theory,train
homicide in urban america 1950-1980,sociology,train
geographic distribution of chlorine-36 in post-pleistocene ground water,hydro,train
reu  ecological and genetical processes in the metapopulation dynamics of the silene- ustilago host-pathogen system,ecology,train
"range reductions in native butterfly, (pieris napi) host plant effect or result of shared parasitoid introduced for biological control?",ecology,train
"endocrine disrupter exposure during development effects on brain and behavior june 24-27, 2001 montreal, canada",neuroscience,train
"mathematical sciences numerical aspects of riccati transformation, invariant manifold approximation, and connected issues",math,train
a seismic study of the taiwan orogen,geophysics,train
american earth scientists to attend a conference and field trip on the xianshuihe fault in western china,geophysics,train
"specialization, inequality, and the labor market for married women",economics,train
mathematical sciences solitons and the onset of chaotic pulsation in boundary layers,math,train
mathematical sciences large scale oscillatory behaviour arising from nonlinear systems.,math,train
evaluating decomposition slicing as a software maintenance methodology,software,train
"""new application of database knowledge""",data,train
experiences for undergraduates (reu) site in sociology,sociology,train
political science the influence of local government on land cover change in the tropical lowlands of bolivia,politic,train
mathematical sciences penalization techniques for the studyof free and moving boundaries,math,train
"dataflow networks calculi, axiomatics, and algebraic semantics",software,train
experimental investigation of ecological and genetic correlates of parthenogenetic and reproduction in a fresh water snail,ecology,train
effect of land-surface heterogeneity on regional-scale fluxes using a new generation large-eddy simulation,hydro,train
the ancient hawaiian world-system through the eyes of russian explorers,sociology,train
a formal approach for a specification-based software architecture of real-time systems,software,train
nonlinear partial differential equations,math,train
"taxation, redistribution, and provision of public services in a system of jurisdictions with mobile citizens",politic,train
mathematical sciences mathematical models in immunological processes,math,train
experiments on convection and turbulence in earth's core,geophysics,train
"investigations of the april 22, 1991 magnitude 7.5 costa rica earthquake",geophysics,train
mathematical sciences/gig immersive methods (virtual reality) for exploratory analysis,statistics,train
"political structure, demographics and economic growth",politic,train
advances in peer-to-peer networking,networking,train
spawning and fertilization in the caribbean coral montastraea annularis sensu lato,oceanography,train
network protocols for broadcast communication,networking,train
mapping active magma chambers by b-values,geophysics,train
(uri)  a real-time urban management system (for dynamic city visualization and decision support),hydro,train
the dynamics of interest group behavior a study of campaign contributions,politic,train
assessing nutrient limitation of phytoplankton photosynthesis,oceanography,train
"general equilibrium models of agglomeration the endogenous location of consumers, producers, and marketplaces",economics,train
implications of catchment structure for time-varying hydrological and hydrochemical response in a forested headwater catchment,hydro,train
computer - aided verification,software,train
ecophysiology of gelatinous zooplankton in hypoxic estuaries,oceanography,train
a semantics for a stratified production system program,data,train
"algebras, categories and monads in computation and semantics",software,train
abstraction and compositionality for the verification of infinite-state reactive systems,software,train
group processes and individual differences in standardized test scores,sociology,train
nature and cause of long period background oscillations,geophysics,train
competition and the vertical organization of industries,economics,train
in experimental studies of auction markets,economics,train
specifying and verifying delay-sensitive distributed software/systems,software,train
learning and evolution of equilibrium in games,economics,train
testing the new keynesian synthesis an experimental examination of nominal price frictions in a model with endogenous costs and,economics,train
"autoregressive conditional duration, arch, common features and cointegration",economics,train
a multilevel social control model of everyday school violence,sociology,train
post-seismic deformation for the 1999 izmit/duzce turkey earthquake sequence,geophysics,train
maintenance and analysis of structurally enhanced programs,software,train
mantle plumes and the dynamics of hotspots,geophysics,train
perturbation and recovery of an old-field food web,ecology,train
on american leadership in a turbulent world,politic,train
the relationship between welfare benefit levels and premarital childbearing in context the role of structural and normative factors,sociology,train
"community ecology on rocky shores long-term in the subtidal zone (massachusetts, 1978-2001)",oceanography,train
nitric oxide inhibition of molluscan metamorphosis,neuroscience,train
csedi participant support for international sedi 2002 meeting in lake tahoe,geophysics,train
planktonic community ecology a test of hypotheses in a large temperate river,ecology,train
"numerical study of stellar collapse neutron star collision, heavy ion collisions",gravitional,train
tracking marine invertebrate larvae using elemental markers,oceanography,train
mathematical sciences traveling waves in excitable media,math,train
a systems approach to assessing impacts of multiple human activities on panda habitat in wolong nature reserve landscape,ecology,train
next-generation algorithms for network layout,networking,train
into foundations of computational complexity,theory,train
parallel algorithm design from theory to practice,theory,train
reu site in economics,economics,train
bacterivorous ciliates in marine food webs lipid chemistryand role in copepod nutrition,oceanography,train
magnetic record of the matuyama chron at odp leg 162 (north atlantic) sites,geophysics,train
mathematical sciences statistical graphics diagnostics andinference,statistics,train
"si, n and p limitation in the northern gulf of mexico phytoplankton responses to increased n and p delivery from the mississippi",oceanography,train
mathematical sciences modeling of pattern formation by cellular tractions on in vitro extracellular matrix,math,train
bifurcation analysis and computation in elliptic and multiphase problems of nonlinear elasticity,math,train
studying changes in the rules of the u.s. house of representatives electorial forces and majority control,politic,train
on political choice data,politic,train
learning and equilibrium selection,economics,train
mathematical sciences model building for linear and non- linear mixed effects models,statistics,train
global conductivity by spatiotemporal analysis,geophysics,train
political science information diffusion in complex electoral environments voting behavior in two brazilian cities,politic,train
maintenance of tropical tree diversity by herbivores and pathogens a test of the janzen-connell hypothesis,ecology,train
mathematical sciences variational methods and applications,math,train
grostat v workshop on grobner bases and statistics,statistics,train
experience and expertise in strategic behavior,economics,train
mathematical sciences cross-disciplinary workshops in statistics,statistics,train
of moths and mice the influence of dispersal distance and local predation risk on persistence of a sparse prey,ecology,train
advances in modern performance analysis a new approach,networking,train
constraining earthquake models with geodetic data,geophysics,train
"assessing the genetic potential and physiological controls of n2 fixation in two temperate, n-limited estuaries",ecology,train
"the influence of gamete phenotype, gamete genotype and behavior on reproductive success in broadcast spawning invertebrates",oceanography,train
alliance treaty obligations and provisions designing reliable international agreements,politic,train
"conference on understanding the digital economy (washington, d.c., may 25-26, 1999)",economics,train
"three projects in choice theory random choice, interdependent preferences and changing tastes",economics,train
construction of a whole genome micro-array for the marine cyanobacterium prochlorococcus,oceanography,train
"; family-responsive workplace policies, parenting, and children's well-being",sociology,train
"quantifying the link between the mechanical controls on fracture formation and network permeability using a physically-based, three dimensional model of",hydro,train
the dynamics of political attitude formation in a milieu of multiple weak parties a context-sensitive analysis of voting behavior in two brazilian,politic,train
mathematical sciences analysis of transport properties for composites and multi-phase flows with application to optimal design,math,train
the regional differences in firm entry in the service sector using the 1989-97 longitudinal establishment and enterprise micro-data file,economics,train
point defects in intermetallics using pac,metals,train
indefinite and singular optimal (boundary) control problems for p.d.e's,math,train
spatial scale and population persistence insights from a plant-herbivore-parasitoid system,ecology,train
"in specifying the dimensions of bias in media coverage of demonstrations in washington, dc 1973-1994",sociology,train
female labor force participation in the united states an update,sociology,train
applications and efficient execution of constraint logic programming over a real-number domain,software,train
"the role of protozoan zooplankton in plankton community structure, composition and fate in the equatorial pacific",oceanography,train
itr/pe (ses) empirical studies of network effects,economics,train
brittle to ductile transition in cleavage fracture of fe-3% si alloy,metals,train
economics an econometric analysis of cherokee indian agricultural performance before removal,economics,train
dimension reduction and data visualization,statistics,train
"snow surface roughness - data collection, geostatistical analysis, relationship to meteorologic observations, and relevance to snow hydrologic models",hydro,train
modeling change in fields of organizations a simulation study,sociology,train
initiation award adaptive tracing for optimal parallel and sequential program debugging,software,train
practical program restructuring for software evolution,software,train
block thresholding methods for adaptive wavelet function estimation theory and applications,statistics,train
"csedi  reference earth models, reference data setsand codes",geophysics,train
economics and electorates the subjective economy of british party support,politic,train
molecular measures of microbial community structure in sediment biogeochemistry,ecology,train
muslim women in senegal identities in a changing world,sociology,train
semantic tools for realistic programming languages,software,train
"monetary policy, inflation stabilization, and welfare",economics,train
a physico-chemical approach to the development of salt water intrusion models,hydro,train
goali microalloying and improvement of the solidification characteristics of nickel-base single crystals,metals,train
determination of q and inversion of attenuation-corrected gross earth data,geophysics,train
sustainable resource management and the depreciation of environmental capital applications to energy-use and global warming,economics,train
the development of public policy affecting the relationship between home and work,sociology,train
impacts of disturbance on soil food webs,ecology,train
isotope biogeochemistry of polycyclic aromatic hydrocarbons in riverine sediments (with application to st. lawrence and hudson river),hydro,train
synthetic surface wave seismograms on a laterally heterogeneous earth,geophysics,train
gender dynamics and unmarried fathers' involvement with children,sociology,train
open economy environmental economicsa study of international environmental linkages and their policy implication,economics,train
job instability and worker wellbeing,sociology,train
employment and compensation policies studies of american and french labor markets using matched employer-employee data,economics,train
a new approach to determining long-duration slip of large earthquakes,geophysics,train
mathematical sciences some inverse problems for partial differential equations,math,train
friction coefficients and roughness of coral reef communities,oceanography,train
mathematical sciences  in mathematical statistics and probability,statistics,train
"mathematical sciences data analysis, modelling, and inference",statistics,train
active fluorescence assays of phytoplankton physiological state population and individual cell measurements,oceanography,train
fostering scoped multi-device interaction in ubiquitous computing environments,networking,train
u.s. globec dispersive and advective influences on the survival of cod and haddock larvae on georges bank,oceanography,train
"vortex sheets, convective flows and singularities",math,train
rigidity and flexibility in social systems,economics,train
discovering motifs in scientific databases,data,train
mathematical sciences statistical strategies for complex computer models,statistics,train
experimental investigation of the rheology of eclogite and its constituent minerals at high pressure,geophysics,train
do alternate stable community states exist in the gulf of maine rocky intertidal zone,oceanography,train
the extent of the market,economics,train
timescales of geochemical and isotopic transport in natural waters,hydro,train
above and below ground herbivory on purple loosestrife diversity and resource partitioning in wetland communities,ecology,train
fluids in the upper continental crust static or dynamic?,hydro,train
towards a robust constitutive law for calcite rocks,geophysics,train
asymptotic models for the spreading of thin solid films,math,train
a strongly coupled analytical study of the interaction of foreign particles with a solid-liquid interface in the presence of morphological and fluid,math,train
simulation and semiparametric estimation of microeconometricmodels,economics,train
crafting recovery for advanced transaction models and applications,data,train
a composite model checking toolset for analyzing software systems,software,train
powre a fundamental study of microstructual evolution in titanium alloy friction stir welds,metals,train
"mathematical science nonlinear control theory topics related to stabilizability, observability and realizability",math,train
the depth distribution of coseismic slip during large earthquakes from inversion of geodetic and tsunami waveform data,geophysics,train
"simulation, optimization, and analysis of high dimensional higher index daes",math,train
"patches, corridors, and the dispersal of insects and plants scaling up from local experiments to large, complex landscapes",ecology,train
itr invariant detection and interpretation of specific objects in image data,statistics,train
statistical and computational methods in genetic analysis,statistics,train
electromagnetic remote sensing of structures controlling seismicity in the puget sound region,geophysics,train
population dynamics of rhizosphere diazotroph assemblages - effects of host and environmental variables,ecology,train
foundation of multiple classifier systems and active learning,theory,train
problems in finite model theory,theory,train
mathematical sciences mathematical problems in compressible fluid flow,math,train
trade and trade policy in late nineteenth century america,economics,train
"international travel grants for participation in 17th world congress of international political science association, seoul, korea, august 17-21, 1997",politic,train
nonclassical pdo and some practical problems of local tomography,math,train
the economics of creativity,economics,train
the aggregate effects and equilibrium selection of public policies,economics,train
"on environment, performance, and leadership on party change",politic,train
emersion stress in intertidal seaweeds role of active oxygen,oceanography,train
"travel support for ieee infocom 2003 conference; san francisco, ca; march 30 through april 3, 2003",networking,train
moving frames & computer vision,math,train
network protocols and the causes of chaotic traffic,networking,train
"integrated study of source, path and site effects on kobe ground motions",geophysics,train
population dynamics and species diversity of decomposers of patchy substrates,ecology,train
survival analysis and related topics,statistics,train
empirical studies of regulated industries-accomplishment based renewal,economics,train
"sofex mesoscale iron fertilization effects on plankton community structure, phytoplankton growth and zooplankton grazing",oceanography,train
relativistic astrophysics and gravitation physics,gravitional,train
theory and applications of finite-dimensional nonlinear control,math,train
new methods for the simulation and analysis of waves,math,train
population dynamics in a heterogenous environment the effect of variance in plant quality on herbivore populations in time and space,ecology,train
ecological implications of body size in deep-sea gastropods,oceanography,train
"first midwest conference for new directions in experimental design to be held may 18-20, 2000, in columbus, ohio",statistics,train
formal analysis of concurrent systems by temporal petri nets,software,train
"search, bargaining, money, and prices",economics,train
security price transactions database,economics,train
quantitative role of glycine betaine and dmsp in the cellular nitrogen and sulfur budgets of marine phytoplankton,oceanography,train
program dependence graphs and dataflow analysis,software,train
"human ecology, growth coalitions, and local state autonomy--the case of enterprise zones",sociology,train
a model for designing adaptable software components,software,train
statistical and computational tools for the analysis of high dimensional genetic data,statistics,train
"learning, complexity, & testing",theory,train
"nyi flow, congestion, and admission control protocols for packet networks",networking,train
dinoflagellate swimming orientation from an ecological perspective,oceanography,train
nitrate flux associated with vertically migrating phytoplankton in the central north pacific gyre,oceanography,train
salinity of groundwater in continental sedimentary basins as a record of quaternary paleoclimatic conditions,hydro,train
probabilistic analysis of hybrid systems,software,train
processes of curriculum change in colleges and universities a comparison of population ecology and institutional theorie,sociology,train
three dimensional structure of the mantle,geophysics,train
southern grassroots party activists project,politic,train
mass torts and bankruptcy asbestos,economics,train
an integrated framework for mechanical verification of fault-tolerant systems,software,train
"moment differential equations, ctrw and functional renormalization to predict transport in highly heterogeneous porous media theory and experiments",hydro,train
cmg  on multi-scale predictions of arctic ice,math,train
dynamics of task-oriented communication tests of computer models of affect control theory,sociology,train
sixth international conference on precipitation predictability of rainfall at the various scales,hydro,train
globec significance of circulation to egg and larval distributions on georges bank,oceanography,train
the paradox of enrichment in plant assemblages tests of three prominent hypotheses,ecology,train
mathematical sciences statistical multiple numerical integration,statistics,train
"u.s. globec egg production, growth, and mortality of calanus finmarchicus and pseudocalanus spp. on georges bank",oceanography,train
intracellular events during neuronal growth,neuroscience,train
nitrate-ammonium interactions and nitrate supply in the regulation of arabian sea regional new production.,oceanography,train
the impact of unions on wages and unemployment,sociology,train
mathematical sciences fractal encoding of rock fractures,statistics,train
mathematical sciences problems in nonliner continuum mechanics,math,train
conference on statistical challenges in modern astronomy ii,statistics,train
innovative finite element methods for modeling multiphase contaminant flows in porous media,math,train
globec growth and survival of juvenile salmon,oceanography,train
the effects of fire on tree demography and species composition of south florida tropical hammocks,ecology,train
"theory and pragmatics of optimal reduction logic, linear naming, and programming language design",software,train
tax reform and the state in latin america,politic,train
geochemistry of redox-sensitive elements and osmium and uranium isotopes in large pristine rivers,hydro,train
"enabling new networking applications and distributed systems with mobile, lightweight protection domains",networking,train
the rise to preeminence of the new york stock exchange,economics,train
minimum wages and the employment of young women,economics,train
multivariate nonparametric methods using mass concentration,statistics,train
on the approximation of linear operators with applications,math,train
ecological determinants of interaction strengh between a predator and its prey assemblage,ecology,train
"learning, consumption and asset markets",economics,train
computational analysis of fluid flows external boundaries interior layers and nonlinear waves,math,train
inbounds the integrated network-based ohio university network detective service,networking,train
intra- and interspecific variability in neurotoxin resistance a study of coevolution between grasshopper mice and bark scorpions,ecology,train
oxygen minimum zone control of benthic processes on the peru-chile margin el nino influence,oceanography,train
"patriotism, political participation, and popular support for governing institutions native american challenges to 'politics'",politic,train
causes of depth zonation in emergent and floating aquatic plants,ecology,train
carbon isotopic studies of fossil tooth enamel and the development of c4 ecosystems,ecology,train
ecological effects of global change tree-insect interactions,ecology,train
experience for undergraduates (reu) site in political science,politic,train
"analysis of the transport and storage of contaminated sediments in the rio pilcomayo basin, bolivia a geochemical-geomorphologic",hydro,train
quantitative modeling of channelized flow within a karst stream,hydro,train
in gravitation and quantum field theory,gravitional,train
heightened competitiveness in a party system matter? its effect on candidate quality and deputy behavior in democratizing mexico,politic,train
crb tropical forest regeneration influence of animal seed-dispersers,ecology,train
"conference on combinatorial pattern matching (cpm); tucson, arizona; april 29-may 1, 1992",theory,train
mathematical sciences semi-parametric methods for longitudinal data analysis,statistics,train
issues in quantum gravity,gravitional,train
hydrodynamic forcing of metabolism of coral reef algal communities (rui),oceanography,train
public support for the party system,politic,train
"application of global positioning system measurement to continental collision in the pamir-tien shan region, soviet central asia ()",geophysics,train
political science faith in liberalism-exploring religious pluralism and liberal democracy in the state of,politic,train
"coordination, commitment, and time horizons a comparative study of the politics of macroeconomic policy making in indonesia",politic,train
mathematical sciences conference on computation and control,math,train
"continuing study of the post-seismic fault healing of the 1992 m7.5 landers, california, earthquake",geophysics,train
properties of galaxies constraints from gravitational lensing and dynamics,math,train
major power states and limited war,politic,train
growth and level of aggregates,economics,train
strategic coordination among american voters,politic,train
role of glia during postembryonic formation of the cns,neuroscience,train
auctions for multiple items,economics,train
the ethnic bases of bargaining power in post-soviet russia,politic,train
"collective action in exchange networks; coalitions, identity, and interest",sociology,train
safety analysis for critical product lines,software,train
maximum likelihood estimation of radial basis function neural networks for process control,statistics,train
integrating informal and formal techniques an evolutionary approach to systems development,software,train
target-induced regulation of neuronal synapse formation,neuroscience,train
bio-physical interdisciplinary trophic studies,oceanography,train
two topics in macroeconomics,economics,train
a study of crustal anisotropy in alaska,geophysics,train
in power and unilateral initiatives in explicit bargaining,sociology,train
the effect of political reform on rural social conflict in colombia,sociology,train
modeling post-glacial rebound for earth with 3-d viscoelastic structures,geophysics,train
doctoral disseration who gets credit? the economic value of social status in money lending,sociology,train
receptor phosphatases and control of neurite outgrowth,neuroscience,train
causes for slow development of old-growth associated epiphytic lichens in douglas-fir forests in the cascade range,ecology,train
parallel algorithms for graph problems,theory,train
on the intermediation process and political decision making,politic,train
new directions in the study of finite automata,theory,train
"mathematical sciences calculus of variations/control, and applications to material science",math,train
updating ambiguous beliefs bayesian and non-bayesian learning,economics,train
database query processing in main memory,data,train
studies of the economic impacts of global environmental change,economics,train
mathematical methods for small sample biostatistical inference,statistics,train
gps monitoring of plate interactions and crustal deformationin the eastern mediterranean/middle east,geophysics,train
testing and extending the paleomagnetic record at steens mountain,geophysics,train
a scaleable multicast protocol to enable future-generation large scale multimedia applications,networking,train
ethnic organization and political cultures italians and jews in argentina and venezuela,sociology,train
role of predation and plant-small mammal interactions in the chilean mediterranean scrub zone,ecology,train
higher-order computation and its computational complexity,theory,train
"globec mapping the evolution of meoscale jets and eddies in the upwelling ecosystem off cape blanco, oregon, using long-range",oceanography,train
geomagnetic intensity in ancient times,geophysics,train
a formal architecture-based approach to software integration testing,software,train
enzyme activities as shipboard biochemical indices of condition in zooplankton,oceanography,train
consequences of avian seed dispersalfor understory plants in primary forest in lowland costa rica,ecology,train
hierarchical program analysis in high performance compilers for parallel computers,software,train
fluvial geochemistry of the arctic rivers of eastern siberia,hydro,train
"liquefaction susceptibility mapping, simi valley",geophysics,train
functional interactions between neuronal 5-ht and glial s-100 beta,neuroscience,train
genetics of neuronal structure and connectivity in c. elegans,neuroscience,train
iron compositional ratios in marine phytoplankton,oceanography,train
fault-tolerance and locality in distributed network algorithms,theory,train
features of machine learning and other topics in foundations of computing,theory,train
"from fair employment to equal opportunity and beyond race, liberalism, and the politics of the new deal order, 1941-1971",sociology,train
"effects of el nino oceanographic conditions on the settlement patterns of marine invertebrates in southern, central and northern california",oceanography,train
"race, violence, and television news why americans are getting tough on crime",politic,train
kinetics and mechanism of olivine phase transformations implications for subduction,geophysics,train
algebraic methods in multivariate statistical analysis,statistics,train
feedforward control of data rate in wireless networks,networking,train
development of the visual projection in the embryo,neuroscience,train
pattern formation in two and three dimensions,math,train
incorporating active real-time objects and control into semantic webs,data,train
rpg tropical moist forest recovery from human induced- disturbance,ecology,train
crb endemic tree loss from fragmentation of disperser assemblages,ecology,train
development and analysis of models for the spread and control of weeds and infectious diseases,math,train
post-translational regulation of n-cadherin during neural development,neuroscience,train
a csedi workshop on earth models,geophysics,train
(sger) boreas ssa precipitation radar,hydro,train
carnegie-rochester conference on public policy - november and april 2002 - 2005,economics,train
abr studies on the ecological physiology of midwater animals,oceanography,train
"detailed paleomagnetic study of the matuyama- brunhes reversal from lavas on tahiti, french polynesia",geophysics,train
"globec-01 tidal front mixing and exchange on georges bank controls on the production of phytoplankton, zooplankton, and larval",oceanography,train
molecular and biochemical basis for stable carbon isotope ratios in hydrothermal vent ecosystems,oceanography,train
"juvenile fish predation on meiobenthos - moreton bay, australia",oceanography,train
physically-based fault zone constitutive responses and consequences for earthquake dynamics,geophysics,train
from the rights revolution to reengineering the construction of corporate departments,sociology,train
constraining non-linear lithospheric viscous flow laws from postseismic surface deformation measurements,geophysics,train
social resources activated in response to a natural disaster,sociology,train
immigration to the united states 1940-1980,economics,train
"nsf workshop on data archival and information preservation to be held march 26-27, 1999 in washington, dc",data,train
application-oriented large-scale parallel data mining,data,train
incorporating structural response into the prediction of disturbance of a competitive dominant on wave-swept rocky shores,oceanography,train
"lithospheric deformation of the southern alps in south island, new zealand",geophysics,train
the effects of legitimacy on responses to injustice,sociology,train
a comprehensive evaluation of herbivory by in situ assemblages of pelagic protists,oceanography,train
the methodological thought of f.a. hayek a case study,economics,train
"rhizosolenia mats as a source of nitrogen flux into the surface waters of the pacific ocean fe stress, n excretion and basin scale",oceanography,train
inference for high dimensional models,statistics,train
the potential tradeoff between competitive ability and predator resistance in larval anurans,ecology,train
"the dynamics of collective protest in the u.s., 1960-1980",sociology,train
mutual fund compensation and financial intermediation,economics,train
the kinematics and dynamics of continental deformation,geophysics,train
"inequalities and skills of immigrants in the u.s., canada, and australia",sociology,train
dispersal within and among stream corridors implications for the distribution and population structure of stoneflies in the white,ecology,train
genetic diversity of macrocystis pyrifera population impact of el nino,oceanography,train
fatigue of nickel mems structures,metals,train
traffic management in ip networks,networking,train
mesoscopic scale phase separation in alloys under sustained external forcing,metals,train
vertical migration of pelagic tunicates role of feeding and reproduction,oceanography,train
explaining political clientelism evidence from argentina,politic,train
massive data streams algorithms and complexity,theory,train
market monitoring and organizational form,economics,train
crb breeding behavior and reproductive seasonality of nicaraguan cichlids an endangered fauna,ecology,train
energy sources for reproduction and development in a cold-seep mixotrophic mussel,oceanography,train
row microscopic structure and functional mechanical properties of the feeding tentacles of terebellid polychaeteworms,oceanography,train
"mathematical sciences applications of lie theory to control, computer science and physics",math,train
support of the interface of three areas of biomedical science with the mathematical sciences,math,train
novel conductive oxide coatings on metallic inteconnect for intermediate temperature sofc application,metals,train
intercellular coordination schemes for multimedia wireless networks,networking,train
patterns of variability in alaskan salmon populations and their ecosystems during the last five centuries,oceanography,train
microscopic and molecular characterization of fe and mn hydrous oxides,hydro,train
"triggering and inhibition of large earthquakes in the nankai trough, japan",geophysics,train
sger- estimation of binary choice and nonparametric censored regression models,economics,train
political science policy uncertainly and attitude strength in candidate evaluations,politic,train
"conflict, cooperation and the evolution of conditional social behaviors in colonial marine invertebrates",oceanography,train
the evolution of microstructure and defect structure in manganese-aluminum-base ferromagnets pathways to novel processing routes and enhanced properties,metals,train
development of a method to measure in situ phage production rates in the sea,oceanography,train
fixed-point logic in finite structures,theory,train
cell cycle regulation and differentiation in marine phytoplankton and bacteria,oceanography,train
"workshop on parallel logic programming and its programming environments; university of oregon; eugene, or; march 4-6, l994",software,train
traffic scheduling and network interconnection in all optical networks,networking,train
"aggregate implication of complementarities machine replacement, income distribution, and fluctuations",economics,train
irceb plant genetic structure as a controlling factor in community and ecosystem functioning studies using natural and synthetic hybrids of a,ecology,train
cmg  experiments aimed at improving global seismic tomography,geophysics,train
stability considerations for networks,networking,train
light-aided digestion of phytoplankton prey by heterotrophic protist grazers,oceanography,train
mathematical sciences semi-strong turbulence,math,train
"on laboratory markets with posted prices discounts, search costs, and demand shocks",economics,train
analysis and improvement of linear and nonlinear eigenvalue algorithms based on geometric approaches,math,train
the global cost of policies to reduce greenhouse gas emissions,economics,train
mathematical sciences investigation of rayleigh-taylor flow,math,train
pacific paleomagnetic poles from analysis of the shapes of marine magnetic anomalies,geophysics,train
interactions between bacterioplankton communities and dissolved substrates at the bermuda atlantic time-series study station,oceanography,train
hydrologic analyses of nested watersheds in the siberian arctic,hydro,train
a watershed simulation model with vegetation,hydro,train
colaborative  closure of thermodynamically constrained models for multiphase systems,hydro,train
mathematical sciences general linear models,statistics,train
"mobility, inequality, and growth in a changing technological environment",economics,train
principles and applications of partial evaluation,software,train
quantitative insight into responses of cell populations to radiation exposure,math,train
in bayesian analysis large-scale regression and prediction models with applications in bioinformatics and applied time series,statistics,train
behavioral responses of the ant pheidole dentata to parasitism by the phorid fly apocephalus feeneri,ecology,train
support of historical references in database,data,train
impact of larval transport and benthic habitat quality upon recruitment dynamics poor nursery habitat decouples larval supply from reproductive output,oceanography,train
principles of embedded language design,software,train
declarative features for deductive databases,data,train
determination of the void volume in silicon single crystals for use in the precision measurement of avogadro's constant,metals,train
the regulation of herbivores by the third trophic level an el nino experiment,ecology,train
a fast numerical method for imaging small abnormalities in diffusion tomography,math,train
gps study of the transition between subduction and collisionin papua new guinea,geophysics,train
crossover designs and orthogonal arrays,statistics,train
effects of the a - b phase transition and water weakening of min2geo4-olivine creep implication for rheology near the upper mantle-transition zone boundary,geophysics,train
the social structuring of inequality,sociology,train
on the linear structure of graphs - ii,theory,train
junior us- based mathematicians at 03/04 special yr at fields institute,math,train
understanding the proliferation and operation of stock markets in a global economy - phase three (iceland),sociology,train
random matching models with divisible money and prices,economics,train
mathematical sciences wave propagation in cardiac tissue,math,train
mdarts a multiprocessor database architecture for real- time systems,data,train
surface wave propagation on a laterally heterogeneous earth,geophysics,train
constraining the structure and rotation of the inner core,geophysics,train
the townsend movement and populist movements of the depression era causes and consequences,sociology,train
"democratization, institutional choice and political consequences a comparative analysis of constitutional designs and electoral systems in africa",politic,train
"collabortive  reproductive ecology in the blue crab, callinectes sapidus",oceanography,train
development of neuronal identity,neuroscience,train
prf/j the dynamics of a two-species prey/predator/parasite system interactions between the ciliate lambornella clarki and the mosquito larva aedes sierrensis,ecology,train
applications of mechanism design,economics,train
"the inner city, segregation, and social interactions",economics,train
coupled-oscillator problems motivated by lasers,math,train
numerical simulations of global seismic wave propagation,geophysics,train
factors influencing evolutionary and ecological patterns of body size in north american freshwater fishes,ecology,train
cost and benefits of plant defense against herbivores in maintaining a resistance polymorphism,ecology,train
interactive sequencing by hybridization,theory,train
jgofs bacterial cycling of dissolved and particulate carbon in the oligotrophic and eutrophic production regimes of the arabian sea,oceanography,train
algorithms to improve the efficiency of data compression and caching on wide-area networks,data,train
an integrated strategy for testing user-oriented software systems,software,train
the inheritance and disinheritance of memory,sociology,train
efficient method of discharge measurements in rivers and streams,hydro,train
effects of quantum fields on black holes,gravitional,train
synapse specification among motor neurons in caenorhabditis elegans,neuroscience,train
analysis of teleseismic data from the archean proterozoic experiment apt 89,geophysics,train
labor market compensation and economic behavior an experimental examination of team production and tournaments,economics,train
on design optimization in optical networks,networking,train
mineral elasticity by brillouin scattering at one atm. and high pressures,geophysics,train
late holocene expansion of utah juniper in wyoming a model system for studying ecology of natural invasions,ecology,train
species composition and biodiversity in mussel bed communities of deep-sea hydrothermal vents,oceanography,train
statistical depth functions and their applications,statistics,train
behavioral cues responsible for the initiation and maintenance of copepod swarms,oceanography,train
recognition of visual languages,software,train
photophysiological regulation of spectral quantum yield and its linkages to bio-optical properties of phytoplankton,oceanography,train
a global study to constrain the amplitude of short-scale length topography on the 410 and 660km discontinuities,geophysics,train
mathematical sciences statistical multiple integration,statistics,train
"workforce diversity, coworker trust, skin shade, and competitiveness wage determination of black americans reconsidered",economics,train
