label-coarse,label-fine,text
0,7,b'What does the double-O indicate in 007 ?'
1,23,b'What is a fear of bees ?'
4,13,b'How many equal sides are there on a scalene triangle ?'
5,14,b'What is the name of the planet that the Ewoks live on ?'
0,7,b'What is the Immaculate Conception ?'
0,0,"b""How does light travel through the void of space if there is no medium for it to ` wave ' or ` pulse ' ."""
0,7,b'What is the definition of low island ?'
3,4,"b""What was William F. Cody 's better-known name ?"""
4,8,b'When do you plant winter wheat ?'
1,17,"b'What will a kid eat the middle of , and save the chocolate on the outside for last ?'"
4,8,"b""When was London 's Docklands Light Railway constructed ?"""
3,4,"b""Who plays shortstop for Charlie Brown 's baseball team ?"""
5,21,b'What U.S. city is The Queen of the Pacific ?'
4,27,b'What is the youngest age a boy or girl can have an orgasm ?'
1,14,"b'What is it that walks on four legs , then on two legs , then on three ?'"
4,8,b'In what year was the Wall built ?'
4,13,b'How many countries are there ?'
3,5,"b""What store claims to be the world 's largest department store ?"""
1,1,"b""What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?"""
3,5,b'What U.S. Government agency registers trademarks ?'
1,36,"b""What 's the singular of dice ?"""
1,29,"b""What board game does a `` wood-pusher '' play poorly ?"""
1,19,b'What color eyes are most sensitive to light ?'
4,13,b'How many characters are in the Chinese alphabet ?'
1,23,"b'What disease plagued Europe , Africa and Asia ?'"
4,13,b'What is the average hours per months spent online by AOL users ?'
0,0,b'How do you clean an LCD monitor screen ?'
0,0,b'How does an ion drive work ?'
3,4,b'Who sought to create The Great Society ?'
0,0,b'How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?'
4,13,b'How many degrees cooler is the inside of a cucumber than the air outside ?'
4,8,b'When was the Parthenon built ?'
0,12,"b""What was unusual about Alexandra 's appearance in Josie and the Pussycats ?"""
4,8,b'What year did Hitler die ?'
4,8,b'What year did Charles Dicken die ?'
1,17,b'Madonna advertises for what soft drink ?'
3,4,b'What fruit-topped actress was known as The Brazilian Bombshell ?'
5,14,b'What is the location of McCarren Airport ?'
3,4,"b""Who was Bonnie Blue Butler 's father ?"""
3,4,b'Who invented the toothbrush ?'
3,4,b'Whose image is alleged to be on The Shroud of Turin ?'
3,4,b'Who was the first man to return to space ?'
4,8,b'When did the Berlin Wall go up ?'
0,7,"b""What is Megan 's law ?"""
5,11,b'What U.S. state lived under six flags ?'
0,0,b'How do you get a broken cork out of a bottle ?'
5,18,b'What is the smallest country in Africa ?'
3,4,b'Who was with Patricia Hearst the night she was kidnaped ?'
0,0,b'How can I find online spelling ?'
1,2,"b""What was the name of Baretta 's cockatoo ?"""
1,1,b'What 1956 Grace Metalious novel was on the best-seller list for two years ?'
1,19,b'What color beans did the ancient Romans refuse to eat ?'
4,8,b'When was cigarette advertising banned on television and radio ?'
1,20,b'What does caliente translate to in English ?'
1,20,b'What do you call a book of quotes ?'
5,14,b'Where can I get information concerning child custody files for the State of Utah ?'
1,20,b'What is the name of the Jewish alphabet ?'
0,7,b'What is multimedia ?'
4,8,b'When did the neanderthal man live ?'
3,4,b'Which presidents of the USA were Masons ?'
3,5,b'What is the first personal computer company ?'
3,5,b'What are the top 10 colleges in the United States in the field of engineering ?'
3,12,b'Who was Maria Theresa ?'
3,4,b'Who followed up his first two underwater thrillers with The Girl of the Sea of Cortez ?'
1,29,"b""What Grand Slam golf tournament wasn 't held between 1940 and 1945 ?"""
0,12,"b""What 's the origin of the word ` news ' ?"""
1,14,b'What does a chairbound basophobic fear ?'
4,13,b'How many hummingbird eggs could fit in one ostrich egg ?'
3,4,b'Who built the first successful stern wheel steamboat ?'
1,26,b'What operating system do IBM-compatible machines use ?'
0,9,b'What function does homeostasis have on the existence of an organism ?'
1,2,"b""In Hemingway 's `` Old Man and the Sea , '' what kind of fish does the old man catch ?"""
4,13,b'How many yards are in 1 mile ?'
1,14,b'What is the rarest coin ?'
0,0,"b""How do you correctly say the word ` qigong ' ?"""
0,7,b'What does the dot on the letter i mean ?'
3,4,b'What Batman character tools around on a Batcycle ?'
1,1,"b'What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?'"
2,34,b'What is the acronym for the rating system for air conditioner efficiency ?'
3,4,b'What first name was Nipsy Russell given at birth ?'
1,36,"b'What word occurs 46 , 227 times in the Bible ?'"
5,21,b'In what city is the US Declaration of Independence located ?'
5,21,b'What Southern California town is named after a character made famous by Edgar Rice Burroughs ?'
1,14,b'What does a dipsomaniac crave ?'
3,4,"b""What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?"""
3,5,"b""What was the Ventura County police department that seized the county 's largest amount of cocaine ever ?"""
4,13,b'What is the pig population of the world ?'
4,13,b'How many dollars a day did Arthur Frommer say you could get by on in Europe in 1968 ?'
1,20,"b""How do you say `` eat the day '' in Latin ?"""
4,13,b'How many miles is it to Ohio from North Carolina ?'
1,17,b'What foods contain vitamin B12 ?'
1,44,b'What ocean liner burned and sank in Hong Kong harbor ?'
4,13,b'How many Superbowls have the ers won ?'
3,5,"b""Who manufactures the software , `` PhotoShop '' ?"""
2,3,b'What is LMDS ?'
1,37,b'What is one of the languages of the Sioux ?'
4,8,"b""CNN 's first broadcast occurred on what date ?"""
0,9,b'Why is the moon different sizes and colors ?'
5,14,b'What square is the geographical center of London ?'
1,23,b'What is a fear of lice ?'
4,8,b'What date is Boxing Day ?'
0,0,b'How do you stop junk snail mail ?'
3,4,b'What painter popularized soup cans and Brillo soap pad boxes ?'
3,4,"b""Which member of Charlie 's Angels sang vocals for Josie and the Pussycats ?"""
0,7,b'What are perfect tenses ?'
1,17,b'What kind of nuts are used in marzipan ?'
5,18,b'What country has the best defensive position in the board game Diplomacy ?'
0,9,"b""Why didn 't European colonial rule spread until after the first and second industrial revolutions ?"""
0,9,"b""Why are sometimes your hands cold , but the rest of you isn 't ?"""
1,14,"b""Name of King Arthur 's sword ?"""
0,12,b'What are some interesting facts and information about dogsledding ?'
1,17,b'What are all the different types of pizza ?'
5,21,b'Which city has the oldest relationship as a sister city with Los Angeles ?'
5,18,b'What country is the worlds leading supplier of cannabis ?'
1,28,"b'What explosive do you get by mixing charcoal , sulfur and saltpeter ?'"
3,4,b'What South Vietnamese president was assassinated by his generals in 1963 ?'
3,4,b'Who was the last U.S. president to reinstate Selective Service registration ?'
3,5,b'What university football team did O.J. Simpson take to the Rose Bowl ?'
3,4,b'Who domesticated the wild turkey ?'
0,9,b'Why do some people have two different color eyes ?'
0,7,"b""What is the meaning of `` subaru ? ''"""
0,7,b'What are manifest and latent function theories ?'
2,3,b'What is the full name of the PLO ?'
3,4,b'Who is the head of the World Bank ?'
4,13,b'How many of them are in sub-Saharan Africa ?'
3,4,"b""Who was Sherlock Holmes 's archenemy ?"""
0,12,"b""What 's the difference and advantages of selecting a Super VHS VCR over plain VHS model ?"""
4,13,b'How many miles of corridors are in The Pentagon ?'
2,3,b'What is DSL ?'
5,14,"b""Where is `` Global Schoolhouse '' ?"""
3,5,b'Which radio stations air the Jim Bohannon Radio Talk Show ?'
4,8,"b""What was the date of CNN 's first broadcast ?"""
5,14,b'Where can I get information on the original 13 US colonies ?'
1,22,b'What part of your body contains the corpus callosum ?'
4,8,b'When was the NFL established ?'
1,1,b'What book was F. Scott Fitzgerald working on when he died in Hollywood in 194 ?'
3,4,"b""Name Randy Craft 's lawyer ."""
0,12,"b""What 's the mystery of the Bermuda Triangle ?"""
4,13,b'How many people own pets ?'
4,27,b'How long do hermit crabs live ?'
3,4,"b""Who is the creator of `` The Muppets '' ?"""
1,44,"b'What was the name of the American ship sunk by a mine in Havana harbor , causing the Spanish-American war ?'"
4,13,b'How many times a day does the typical person go to the bathroom ?'
3,5,b'What company is being bought by Yahoo and how much is the deal worth ?'
1,2,b'What is the fastest fish in the world ?'
0,9,b'Why are eggs supposed to be stored small end down ?'
0,0,b'How does hair curl ?'
5,18,b'What country was A Terrible Beauty to Leon Uris ?'
1,29,b'What is the name of the game that Garry Kasparov plays ?'
1,31,"b""What is the correct way to use `` may '' vs. `` might '' ?"""
5,11,b'What southwestern state is dubbed The Silver State ?'
1,17,b'What does a tarantula eat ?'
3,4,b'What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?'
3,4,"b""Who was Darth Vader 's son ?"""
0,9,"b""What function does a community 's water tower serve ?"""
1,26,b'What kind of suit did true hepcats wear in 1942 ?'
0,0,b'How is water treated to make it safe to drink ?'
3,4,"b""What artist 's studio was the Bateau-Lavoir in Montmartre ?"""
4,13,"b""What 's the American dollar equivalent for 8 pounds in the U.K. ?"""
0,9,b'Why are the U.S. presidential elections held in November ?'
1,44,b'What two vessels fought the first sea battle between iron-covered ships ?'
3,4,b'Who killed Gandhi ?'
3,4,b'What actress holds the record for the most appearances on the cover of Life ?'
5,14,"b""What 's the home of the Rockettes ?"""
2,3,"b'What do the letters CE stand for on so many products , particularly electrical , purchased now ?'"
1,10,b'What was the longest war in U.S. history ?'
3,4,"b'Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?'"
3,12,b'Who was William Henry Harrison ?'
0,7,b'What is The Gay Science ?'
5,14,b'What is the largest island in the Mediterranean Sea ?'
4,40,b'How long is Camptown Racetrack ?'
3,4,"b""Who is King in Alley Oop 's home of Moo ?"""
5,14,"b'What California bridge was Don Brown the first to cross , on May 27 , 1937 ?'"
5,21,b'McCarren Airport is located in what city ?'
4,13,b'How many languages does the Pope speak ?'
5,18,"b'What country has the most time zones , with 11 ?'"
1,36,"b'Name the 5 words that use all of the letters in the alphabet , except Q , with no repeats .'"
4,14,b'What is the chromosome number of an elephant ?'
4,8,b'When did Mount St. Helen last have a significant eruption ?'
3,4,"b""Who was the second person ever to wear Iron Man 's armor ?"""
0,7,b'What does verdandi mean ?'
5,21,b'What city was Bobby Kennedy assassinated in ?'
1,1,b'What Broadway show introduced the song Some Enchanted Evening ?'
3,4,b'Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?'
1,20,b'What is a synonym for aspartame ?'
0,0,b'How do you become a dentist ?'
1,28,"b""What 's the most abundant element in the sun ?"""
5,18,"b'What country covers 8 , 600 , 387 square miles ?'"
0,0,b'How do vending machines tell if your dollar is a 1 or a 5 ?'
3,4,"b""Who was the girl in Peter Sellers 's soup ?"""
1,1,b'What is the music used in the new VW Beetle commercial where the car spins and changes colors ?'
1,29,"b""What card game can feature dealer 's choice ?"""
0,7,b'What are tannins ?'
4,8,b'When was the battle of the Somme fought ?'
5,18,b'What country borders Denmark to the south ?'
2,3,b'What does LOL mean ?'
1,44,b'What vehicles are raced in the Tour de France ?'
4,27,b'How long does it take the typical American to eat 23 quarts of ice cream ?'
4,13,b'About how many Americans are still unaccounted for from the Vietnam war ?'
3,4,"b""Who are Woody Woodpecker 's niece and nephew ?"""
0,12,b'What is the origin of thank you notes ?'
4,25,b'How much did Lucy Van Pelt originally charge for psychiatric sessions ?'
0,0,b'How do I find a snowboarding website ?'
1,1,b'What is a movie that Kevin Costner made about Sioux Indians ?'
1,2,"b""What 's the name of the tiger that advertises for Frosted Flakes cereal ?"""
5,14,b'What is the largest and most expensive freeway construction project in the U.S. right now ?'
1,14,b'What impenetrable system of French fortifications was built along the German frontier before World War II ?'
4,8,b'When was Richard Nixon born ?'
3,4,b'What British prime minister and U.S. president were seventh cousins once-removed ?'
1,14,b'What are close encounters of the first and second kind ?'
3,4,"b""What California governor said : `` Inaction may be the highest form of action '' ?"""
5,14,b'What famed London criminal court was once a feudal castle ?'
4,14,b'What was the number of people that Randy Steven Craft was convicted of killing ?'
5,18,b'What country has the port of Haifa ?'
1,30,b'What is the most widely cultivated plant ?'
5,14,b'What are the top 5 tallest buildings in the world ?'
4,13,"b""How many colored squares are there on a Rubik 's Cube ?"""
0,12,"b""What is the origin of the rock band Led Zeppelin 's name ?"""
4,8,b'When was the first practical commercial typewriter marketed ?'
0,0,b'How does a hurricane form ?'
2,3,b'What does the abbreviation IOC stand for ?'
1,1,"b'What Robert Louis Stevenson novel was inspired by Deacon William Brodie , a cabinetmaker by day and burglar by night ?'"
4,32,"b""How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?"""
0,7,b'What are equity securities ?'
5,14,b'What are the largest deserts in the world ?'
0,7,b'What is a pyrotechnic display ?'
4,38,"b""What was Thatcher 's approval rating after 10 years in power ?"""
5,14,b'What is the habitat of the chickadee ?'
2,3,b'What is IOC an abbreviation of ?'
3,4,b'Who kept the most famous diary in the English language ?'
4,14,b'What is the population of the United States ?'
4,8,"b""When is Dick Clark 's birthday ?"""
3,4,"b""What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?"""
5,14,"b'Where are the apartments in Saint John , New Brunswick ?'"
0,12,b'What do Mormons believe ?'
0,9,b'Colin Powell is most famous for what ?'
4,13,b'How much energy is released when oxygen and hydrogen mix ?'
3,5,"b""Which Ventura County police department seized the largest cocaine shipment in it 's history ?"""
1,29,b'What new games are available for Nintendo 64 ?'
5,11,b'What sprawling U.S. state boasts the most airports ?'
4,38,b'What are the chances of pregnacy if the penis does not penetrate the vagina ?'
4,25,b'How much did Varian Associates try to sell its vacuum products division to the BOC group for ?'
1,1,b'What is the fastest-growing comic strip of all time ?'
0,7,b'What does laser stand for ?'
4,8,b'What day of the week sees the most fatal car accidents ?'
3,4,b'What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?'
0,0,"b""How can I get someone 's phone number if I only have their screen name ?"""
0,0,"b""How do you use `` farther '' as opposed to `` further '' ?"""
3,4,b'What English explorer discovered and named Virginia ?'
5,21,b'What capital is built around Monument Circle which contains soldiers and sailors monument ?'
5,14,b'Where can I buy a good snowboard for less than $200 ?'
4,40,"b""How long were Tyrannosaurus Rex 's teeth ?"""
3,4,"b'Who created the World Wide Web , WWW ?'"
3,5,"b""What was the name of Humphrey Bogart 's club in Casablanca ?"""
5,14,"b'What celestial body has a diameter of 864 , 000 miles ?'"
5,14,b'What is the most useful site on the Internet ?'
1,29,"b""What famed tennis tournament 's men 's singles title was Fred Perry the last Englishman to win ?"""
3,4,"b""Who wrote the song , `` Stardust '' ?"""
5,24,b'What was the highest mountain on earth before Mount Everest was discovered ?'
0,9,b'Why does a woman have to be a virgin to be a nun ?'
3,4,b'Who was the first Russian astronaut to walk in space ?'
3,4,b'Who is the president of Bolivia ?'
4,13,b'How many small businesses are there in the United States ?'
0,7,b'What are field effect transistors ?'
1,2,b'What animal dined on bread and oysters with a carpenter ?'
0,9,b'What causes the redness in your cheeks when you blush ?'
3,4,b'Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?'
1,22,b'Where does your hair grow the fastest ?'
2,3,"b""What does the `` blue ribbon '' stand for ?"""
3,4,"b'Who died with more than 1 , 000 U.S. patents to his credit ?'"
3,4,"b""Who portrayed Dracula in Hammer Studios ' films ?"""
0,7,b'What is the poetic meter of blank verse ?'
4,13,b'How many colors are there in a rainbow ?'
1,23,b'What disease does Katharine Hepburn have that makes her voice shake ?'
5,11,b'Kosovo is a province of what country ?'
1,19,"b""What color flies closest to the staff on Belgium 's flag ?"""
3,5,b'The major league baseball team in Pittsburgh is called what ?'
5,14,b'What island group is Guadalcanal a part of ?'
0,12,b'What do you need to do to marry someone in jail ?'
1,37,b'What is a language spoken by the Sioux ?'
4,8,b'In what year did Thatcher become prime minister ?'
5,14,b'Where can I find a world atlas map online at no charge ?'
3,4,b'Who is the monarch of the United Kingdom ?'
3,4,b'Who is the President of Ghana ?'
1,17,b'What was the first Lifesaver flavor ?'
1,1,b'What Ernest Hemingway novel had the working title Fiesta ?'
4,8,"b""What is Judy Garland 's date of birth ?"""
1,22,b'What is the softest part of the body ?'
5,14,"b""What are Britain 's two longest rivers ?"""
4,38,b'What is the probability that at least 2 out of 25 people will have the same birthday ?'
4,8,"b'In 1990 , what day of the week did Christmas fall on ?'"
4,13,b'How many stars are there in Big Dipper ?'
3,4,"b""Who wrote the book , `` Huckleberry Finn '' ?"""
3,4,b'Who liberated 19th century Sicily and Naples ?'
3,4,b'Who is the Pope ?'
0,0,b'How close a cousin was Franklin D. to Theodore Roosevelt ?'
0,0,b'How do cameras take pictures ?'
5,14,b'Where on the Internet can I get chemicals importers ?'
1,2,b'What was the killer whale who died at Sea World of a fungal infection named ?'
0,7,"b'What does caliente mean , in English ?'"
0,12,b'What is the origin of Boxing Day ?'
0,0,b'How did U.S.A become involved in the Barbary Wars'
3,4,b'Who wrote Brave New World ?'
5,18,b'What country was Kim Philby really working for ?'
0,7,b'What is a geoscientist ?'
0,7,b'What is a swatch ?'
5,14,b'Where is the world championship sled dog race held each February ?'
3,4,"b""What was Mao 's second name ?"""
3,4,b'Who did Jackie Kennedy commission to write The Death of a President ?'
0,7,b'What is a wop ?'
1,29,b'The second most popular sport worldwide is what ?'
5,18,"b""What country 's capital is Tirana ?"""
3,6,b'What did the Seven Dwarfs do for a living ?'
0,7,b'What is pasta ?'
0,0,b'How does ultraviolet light damage the DNA of skin cells ?'
5,14,b'What is the name of the planet that the Ewoks live on ?'
1,36,"b""What words in the English have two u 's back to back ?"""
1,14,b'What cards are bullets ?'
4,8,"b""When was CNN 's first broadcast ?"""
3,4,b'Who wrote the Bible ?'
0,7,b'What is a hydrogen bond ?'
1,1,"b""What Irwin Allen bomb has Richard Widmark saying he 'll be `` the first officer in history to get his butt kicked by a mess of bugs ! '' ?"""
5,14,b'Where must a soccer goalie stand to be permitted to handle the ball ?'
0,12,"b""What is the origin of U.S. Army sergeant 's stripes ?"""
0,12,"b""What is the origin of the term `` blue moon , '' and how often do they occur ?"""
0,7,b'Define the Pheonix Club ?'
1,33,b'What instrument does Benny Carter play ?'
3,6,"b'When not adventuring on Rann , what does Adam Strange call his profession ?'"
0,7,b'What is dry ice ?'
0,0,b'How can I find out which cities have cable-modem access ?'
4,25,b'How much money does the Sultan of Brunei have ?'
0,0,b'How can you stop the itch from poison ivy ?'
1,29,"b""What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?"""
4,13,b'How much snow equals an inch of rain ?'
5,18,b'What country lies directly south of Detroit ?'
3,4,"b""Name the designer of the shoe that spawned millions of plastic imitations , known as ` jellies ' ."""
4,8,b'When did swimming become commonplace ?'
1,14,"b'What overalls are named for Dungri , a suburb of Bombay ?'"
1,29,"b""What was the favorite sport of Tom Wolfe 's The Pump House Gang ?"""
5,14,b'What canal does the Thatcher Ferry Bridge span ?'
3,4,"b""What was the name of the Titanic 's captain ?"""
3,4,b'Which Bloom County resident wreaks havoc with a computer ?'
1,2,"b""What animal occurs in Spielberg 's `` Jaws '' ?"""
0,12,"b""What was Suzy Parker doing to earn $1 , 000 in the early 1950 's ?"""
4,13,b'How many sides does an obelisk have ?'
4,25,b'How much can a person be fined for having a dog on a beach ?'
1,28,"b""What are the most common elements in the Earth 's crust ?"""
1,1,"b""What poem contains the line , `` grow old with me the best is yet to be '' ."""
0,7,b'What is Toulmin logic ?'
5,18,"b'What country , after Canada and Mexico , is closest to the U.S. ?'"
4,25,"b""What are bottle caps with presidents ' pictures inside worth ?"""
3,4,b'What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?'
5,18,b'What southeast Asian country has the Wang River joining the Ping River at Tak ?'
1,19,b'What color Poker chip is usually assigned the lowest value ?'
4,25,b'How much did the minimum wage amount to in 1991 ?'
1,1,b'In which Kevin Costner movie did Sioux Indians play a role ?'
3,4,b'What Argentine boxer was shot dead outside a Nevada brothel in May ?'
4,13,b'How many meters are in a mile ?'
1,19,b'What are the three secondary colors ?'
3,4,b'Which of the following people is not associated with Andy Warhol ?'
4,8,b'When is Boxing Day ?'
4,13,b'How many layers does a bottle of Yoo-Hoo settle into ?'
0,0,b'How is Paraguay for vacations ?'
0,7,b'What is idealab ! ?'
1,46,b'What currency is used in Australia ?'
5,18,b'What countries have the highest ratio of university students ?'
0,7,b'What is e-commerce ?'
1,28,b'What is the Taj Majal made of ?'
5,14,b'Where are the 49 steps ?'
0,12,b'What excuse did the NATO people give for hitting the Chinese embassy ?'
0,7,b'What is the English meaning of caliente ?'
0,0,b'How do you fix squeaky floors ?'
5,21,b'What is the largest city in the world ?'
3,5,b'Rotary engine cars were made by what company ?'
5,18,"b""What 's the most powerful country in the world ?"""
0,9,b'Why is poop sometimes different colors ?'
5,18,b'What are the Nordic nations ?'
4,8,b'In what year was actress Joan Collins born ?'
1,23,b'What is a fear of shadows ?'
4,8,b'What year was the Avery Dennison company founded ?'
1,26,b'Which operating system runs on IBM-compatible machines ?'
2,3,b'What does NAFTA stand for ?'
5,14,"b'What is the US Federal Government website for Standard Industrial Classification codes , SIC , ?'"
1,14,b'What did the crocodile swallow in Peter Pan ?'
1,1,"b""What Stephen Sondheim ballad ends : `` Well , maybe next year.. . '' ?"""
5,14,b'Where can I find information about touring the Philippines ?'
5,14,b'Where is the largest post office building in the world ?'
5,18,b'What country will hit the year 2 first ?'
5,14,b'In What city or state do the most gay men live in ?'
3,4,"b""What is Nathan Hamill 's role in the new Star Wars prequel ?"""
3,5,b'What university fired Angela Davis ?'
0,12,b'What is the secret of the universe ?'
0,12,"b""What is the distinction of Erle Stanley Gardner 's The Case of the Terrified Typist ?"""
5,11,b'What is the fastest growing state in the U.S.A. in 1998 ?'
4,39,b'What is the telephone number for the University of Kentucky ?'
4,13,b'How many points make up a perfect fivepin bowling score ?'
1,29,b'What game is Garry Kasparov really good at ?'
1,28,"b""What 's the second-lightest element ?"""
4,8,b'When was the last major eruption of Mount St. Helens ?'
3,4,"b""What double talking `` professor '' holds a doctorate in Nothing ?"""
4,13,b'How many athletes did Puerto Rico enter in the 1984 Winter Olympics ?'
1,20,b'What is the name of the Islamic counterpart to the Red Cross ?'
4,25,b'What is the regular price ?'
0,0,b'How do I find a web address for a company ?'
4,25,b'What is the average salary of a paleontologist ?'
0,0,b'How do I start a bank ?'
4,13,b'How many bytes are in a terabyte ?'
4,8,"b""On which date is the Ukrainians ' Christmas ?"""
4,41,"b""What 's the Fahrenheit equivalent of zero degrees centigrade ?"""
1,23,b'What is the fear of frogs ?'
3,4,"b'Who wrote the bestselling Missionary Travels and Researches in South Africa , published in 1857 ?'"
1,14,"b'What household facility contains a float ball , ballcock , and overflow tube ?'"
0,7,b'What are the alveoli ?'
3,4,"b""What 's the most common name in nursery rhymes ?"""
3,4,"b""Who is Luke Skywalker 's father ?"""
2,3,"b'What does R.E.M. stand for , as in the rock group R.E.M. ?'"
5,14,b'Where is the Thomas Edison Museum ?'
0,12,b'What was the verdict in the 1925 trial of John T. Scopes ?'
3,4,b'Who gave King Arthur the round table ?'
0,0,b'How can scientists predict weather by observing clouds ?'
0,0,b'How do they type Chinese characters on a keyboard ?'
1,2,"b""What creature scares people in the film `` Jaws '' ?"""
0,0,b'How do you dunk ?'
4,13,b'How many continents are there ?'
5,21,"b""In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?"""
4,13,b'How many John Deere tractors have been manufactured ?'
5,14,b'What lake is Sheboygan on ?'
4,25,b'What is the fare cost for the round trip between New York and London on Concorde ?'
0,7,b'What is the filmmakers collabrative ?'
1,10,b'What war did the Wanna-Go-Home Riots occur after ?'
1,14,b'What can communications satellites offer yachts ?'
0,9,b'Why did Europeans first come to Australia and Oceania ?'
1,19,b'What three colors of ink are used to print a U.S. dollar bill ?'
0,0,b'How does the tail affect the flight of a kite ?'
3,5,"b""What toy company is the world 's No.1 maker of female apparel ?"""
5,18,b'What country contains the westernmost point in South America ?'
4,13,b'How many Gutenberg Bibles are there ?'
1,17,b'What soft drink held a national flavor poll in 1967 ?'
0,9,b'Why did the Globe Theatre burn down ?'
1,14,b'What weapon is the mythological character Apollo most proficient with ?'
5,14,b'What was the former residence of Scottish kings in Edinburgh ?'
3,12,b'Who was Santos-Dumont ?'
2,3,b'What does S.O.S. stand for ?'
1,1,"b""What was John F. Kennedy 's 1960 campaign song ?"""
5,14,b'Where are some great educational resources for parents and teachers ?'
0,0,b'How is the new Ford Econoline van F25 V1 engine ?'
3,4,"b""What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?"""
0,0,"b""How do you pronounce `` Tzimisce '' ?"""
5,11,b'What state is Mount McKinley in ?'
3,4,b'What comedian has a legendary reputation for stealing jokes ?'
1,1,b'Which comic book was not spawned directly from the pulp magazines ?'
1,28,b'What was the Bridge of San Luis Rey made of ?'
0,12,"b'What are some fun things to do in Cozumel , Mexico for teenagers ?'"
0,7,b'What is the feudal system ?'
3,5,b'Name the fast food chain with the golden arches .'
4,13,b'How many dogs pull a sled in the Iditarod ?'
3,4,b'What 19th-century painter died in the Marquesas Islands ?'
5,21,b'What state capital comes last alphabetically ?'
0,12,b'What can I do to get into an Ivy League school ?'
2,3,b'What does A&W of root beer fame stand for ?'
1,20,b'What was another name for East Germany ?'
0,0,b'How can I get a CCT diagram ?'
0,7,b'What is God ?'
5,18,b'What are the five richest countries in the world ?'
5,14,b'What is the oldest ethnological museum in the world ?'
0,7,b'What is Linux ?'
1,14,b'What does a spermologer collect ?'
1,19,"b""What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?"""
0,7,b'What is Doegs ?'
0,0,"b""How is ` qigong ' properly pronounced ?"""
0,7,b'What is Spumante ?'
4,13,b'How many times a year does the American Gourd Society publish The Gourd ?'
0,7,b'What is Plc ?'
5,21,b'What is the capital of Congo ?'
3,4,"b""What apostle is Taylor Caldwell 's Great Lion of God ?"""
1,15,b'What vowel do all Esperanto nouns end in ?'
0,9,b'What is D.B. Cooper known for ?'
5,14,b'What building appropriately enough is depicted on the back of the 1-dollar bill ?'
4,14,b'What is the death toll of people dying from tuberculosis ?'
0,12,"b""What is the origin of the midwest slang , ` you 're darn tootin ' ?"""
5,14,"b""What is Britain 's possession on the Chinese mainland ?"""
1,14,"b""What 's the most popular form of bridge ?"""
3,4,b'Who did Napolean defeat at Jena and Auerstadt ?'
3,4,"b""Who wrote the book , `` The Grinch Who Stole Christmas '' ?"""
3,4,"b""What was the man 's name who was killed in a duel with Aaron Burr ?"""
3,4,"b""What was Michelangelo 's last name ?"""
3,4,b'Who was the first woman governor of Wyoming ?'
1,2,b'What animals do you find in the stock market ?'
0,7,b'What is digitalis ?'
1,14,b'What does Visine get out ?'
0,7,b'What is Srpska Krajina ?'
0,7,"b""What is the `` coppertop '' battery ?"""
4,13,"b'How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .'"
4,45,"b""How much did a knight 's armor weigh ?"""
3,5,"b""What cigarette company urged us , `` Come to where the flavor is ? ''"""
4,14,b'What is the population of Japan ?'
1,17,b'What ice creams contain seaweed ?'
0,9,b'What is the cause of endangered species ?'
3,4,"b""Who thought he 'd never see a poem lovely as a tree ?"""
0,7,"b""What is a person 's socioeconomic position ?"""
1,36,b'What English word contains the most letters ?'
4,8,b'In what year was the Berlin Wall erected ?'
3,4,"b""What architect originated the glass house designed the Chicago Federal Center had a philosophy of `` less is more , '' and produced plans that were the forerunner of the California ranch house ?"""
3,4,b'Who moderated the first Kennedy-Nixon TV debate ?'
3,5,"b""What is the name of Joan Jett 's band ?"""
1,1,"b""What magazine paid $5 , 000 for an eight-millimeter film of John F. Kennedy 's assassination ?"""
1,1,"b'What 1950 film won seven Oscars , including best picture ?'"
4,8,b'What year did Jack Nicklaus join the Professional Golfers Association tour ?'
5,14,b'On what continent is Mozambique ?'
0,12,b'What is the difference between hair and fur ?'
0,12,b'What is the history of skateboarding ?'
1,1,"b""What is the folklore story regarding birds ' nests and birds in Christmas trees ?"""
0,9,b'From what cause does tuberculosis stem ?'
3,4,b'What famous husband-and-wife team did radio ads for Blue Nun wine ?'
5,18,"b""What country is the world 's largest importer of cognac ?"""
3,4,"b""Who is the nebbish that is Marvel 's official mascot ?"""
3,12,b'Who was Monet ?'
